Text,Label
Drinking water upside down cures all diseases,misleading
Vaccines proven to contain microscopic robots (report),misleading
Drinking melted gold increases intelligence by 200%,misleading
Moon is actually a hologram projected by secret agencies,misleading
Ancient pyramid found in Antarctica hiding alien technology,misleading
Rare comet visible to naked eye for the first time in 50 years (study shows),credible
International team finds cure for certain genetic disorders,credible
Local farmers receive subsidies to boost organic crop production,credible
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Vaccines proven to contain microscopic robots (report),misleading
Giant asteroid heading towards Earth will end humanity by Friday,misleading
Ocean turning red due to alien experiments (study shows),misleading
Eating only bananas for a week will make you immune to viruses,misleading
International team finds cure for certain genetic disorders (report),credible
Ocean turning red due to alien experiments (breaking news),misleading
Secret underwater base discovered in Pacific Ocean (breaking news),misleading
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Moon is actually a hologram projected by secret agencies,misleading
Drinking water upside down cures all diseases (study shows),misleading
Secret city found on the dark side of the moon (breaking news),misleading
Vaccines proven to contain microscopic robots,misleading
Eating only bananas for a week will make you immune to viruses,misleading
National park expands protected wildlife area by 200 square kilometers (study shows),credible
Scientists discover advanced species of deep-sea jellyfish,credible
Ocean turning red due to alien experiments,misleading
Researchers develop vaccine with 90% success rate in trials,credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Researchers develop vaccine with 90% success rate in trials,credible
Eating only bananas for a week will make you immune to viruses,misleading
New law to ban single-use plastics nationwide by 2030 (expert says),credible
Cats secretly control global economy,misleading
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
City introduces free public transport to reduce traffic congestion,credible
Rare comet visible to naked eye for the first time in 50 years,credible
National park expands protected wildlife area by 200 square kilometers (report),credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™ (report),misleading
Government launches new digital ID system for citizens (report),credible
Researchers develop vaccine with 90% success rate in trials,credible
Giant asteroid heading towards Earth will end humanity by Friday (breaking news),misleading
Eating only bananas for a week will make you immune to viruses,misleading
Educational reforms to include AI-based personalized learning in schools (study shows),credible
International team finds cure for certain genetic disorders,credible
Giant asteroid heading towards Earth will end humanity by Friday,misleading
New law to ban single-use plastics nationwide by 2030,credible
Secret city found on the dark side of the moon (study shows),misleading
Drinking melted gold increases intelligence by 200%,misleading
Secret city found on the dark side of the moon,misleading
Government replacing cash with mind-control chips (breaking news),misleading
Moon is actually a hologram projected by secret agencies,misleading
Vaccines proven to contain microscopic robots (study shows),misleading
Moon is actually a hologram projected by secret agencies (expert says),misleading
Mars colony to be established by private company in 2035,credible
Government launches new digital ID system for citizens (study shows),credible
Government launches new digital ID system for citizens (expert says),credible
Ocean turning red due to alien experiments (breaking news),misleading
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Breakthrough battery technology allows electric cars to charge in 5 minutes (expert says),credible
Local farmers receive subsidies to boost organic crop production,credible
Educational reforms to include AI-based personalized learning in schools,credible
Drinking water upside down cures all diseases (study shows),misleading
Drinking water upside down cures all diseases,misleading
Ocean turning red due to alien experiments (expert says),misleading
Scientists discover new species of deep-sea jellyfish (report),credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Plants can talk to humans during full moon (breaking news),misleading
Mars colony to be established by private company in 2035,credible
New law to ban single-use plastics nationwide by 2030 (report),credible
Government replacing cash with mind-control chips (breaking news),misleading
Local farmers receive subsidies to boost organic crop production (report),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Global agreement reached to reduce carbon emissions by 40% by 2040 (study shows),credible
Giant asteroid heading towards Earth will end humanity by Friday (report),misleading
Drinking melted gold increases intelligence by 200% (report),misleading
Secret city found on the dark side of the moon,misleading
New AI system predicts earthquakes with 85% accuracy (expert says),credible
Celebrities reveal they are immortal alien hybrids,misleading
Scientists discover modern species of deep-sea jellyfish,credible
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™,misleading
Secret city found on the dark side of the moon,misleading
City introduces free public transport to reduce traffic congestion,credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Government launches new digital ID system for citizens (report),credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™,misleading
Moon is actually a hologram projected by secret agencies,misleading
Mars colony to be established by private company in 2035,credible
Educational reforms to include AI-based personalized learning in schools (breaking news),credible
Ocean turning red due to alien experiments,misleading
Mars colony to be established by private company in 2035 (expert says),credible
Government replacing cash with mind-control chips (study shows),misleading
National park expands protected wildlife area by 200 square kilometers (report),credible
National park expands protected wildlife area by 200 square kilometers (breaking news),credible
Vaccines proven to contain microscopic robots,misleading
Mars colony to be established by private company in 2035 (report),credible
New law to ban single-use plastics nationwide by 2030,credible
Drinking melted gold increases intelligence by 200% (breaking news),misleading
Tech company announces solar-powered phone lasting 1 year per charge (report),credible
Vaccines proven to contain microscopic robots,misleading
Internet to be shut down worldwide for 3 days for â€˜resetâ€™ (report),misleading
Internet to be shut down worldwide for 3 days for â€˜resetâ€™,misleading
New AI system predicts earthquakes with 85% accuracy (study shows),credible
Mars colony to be established by private company in 2035 (study shows),credible
Tech company announces solar-powered phone lasting 1 year per charge (breaking news),credible
Drinking water upside down cures all diseases (expert says),misleading
National park expands protected wildlife area by 200 square kilometers (report),credible
Researchers develop vaccine with 90% success rate in trials,credible
Tech company announces solar-powered phone lasting 1 year per charge,credible
Mars colony to be established by private company in 2035,credible
New AI system predicts earthquakes with 85% accuracy,credible
New AI system predicts earthquakes with 85% accuracy (report),credible
Local farmers receive subsidies to boost organic crop production,credible
Global agreement reached to reduce carbon emissions by 40% by 2040 (report),credible
Secret city found on the dark side of the moon,misleading
Cats secretly control global economy (breaking news),misleading
Ancient pyramid found in Antarctica hiding alien technology,misleading
Researchers develop vaccine with 90% success rate in trials (report),credible
City introduces free public transport to reduce traffic congestion,credible
Drinking melted gold increases intelligence by 200%,misleading
Ocean turning red due to alien experiments (study shows),misleading
Government launches innovative digital ID system for citizens,credible
Rare comet visible to naked eye for the first time in 50 years (study shows),credible
Cats secretly control global economy,misleading
National park expands protected wildlife area by 200 square kilometers (breaking news),credible
City introduces free public transport to reduce traffic congestion,credible
Mars colony to be established by private company in 2035 (breaking news),credible
Cats secretly control global economy,misleading
Moon is actually a hologram projected by secret agencies,misleading
Local farmers receive subsidies to boost organic crop production (report),credible
Government launches innovative digital ID system for citizens,credible
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Mars colony to be established by private company in 2035 (report),credible
Celebrities reveal they are immortal alien hybrids (report),misleading
Scientists discover new species of deep-sea jellyfish (study shows),credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™,misleading
Educational reforms to include AI-based personalized learning in schools (breaking news),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Celebrities reveal they are immortal alien hybrids (report),misleading
New AI system predicts earthquakes with 85% accuracy (report),credible
City introduces free public transport to reduce traffic congestion (study shows),credible
Ocean turning red due to alien experiments (report),misleading
International team finds cure for certain genetic disorders,credible
Researchers develop vaccine with 90% success rate in trials (study shows),credible
Secret underwater base discovered in Pacific Ocean (breaking news),misleading
Ancient pyramid found in Antarctica hiding alien technology (expert says),misleading
Eating only bananas for a week will make you immune to viruses (report),misleading
New law to ban single-use plastics nationwide by 2030,credible
Eating only bananas for a week will make you immune to viruses,misleading
Eating only bananas for a week will make you immune to viruses,misleading
Researchers develop vaccine with 90% success rate in trials (expert says),credible
New AI system predicts earthquakes with 85% accuracy,credible
Ancient pyramid found in Antarctica hiding alien technology (report),misleading
Government replacing cash with mind-control chips,misleading
National park expands protected wildlife area by 200 square kilometers,credible
Secret underwater base discovered in Pacific Ocean (expert says),misleading
City introduces free public transport to reduce traffic congestion,credible
Tech company announces solar-powered phone lasting 1 year per charge (expert says),credible
Government replacing cash with mind-control chips (expert says),misleading
Drinking melted gold increases intelligence by 200% (expert says),misleading
Drinking water upside down cures all diseases (report),misleading
Vaccines proven to contain microscopic robots,misleading
International team finds cure for certain genetic disorders,credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Rare comet visible to naked eye for the first time in 50 years (study shows),credible
Tech company announces solar-powered phone lasting 1 year per charge (study shows),credible
Plants can talk to humans during full moon (expert says),misleading
Drinking melted gold increases intelligence by 200% (report),misleading
Ancient pyramid found in Antarctica hiding alien technology,misleading
Government replacing cash with mind-control chips,misleading
Government replacing cash with mind-control chips,misleading
City introduces free public transport to reduce traffic congestion,credible
Government launches new digital ID system for citizens (report),credible
Secret city found on the dark side of the moon (breaking news),misleading
Scientists discover groundbreaking species of deep-sea jellyfish,credible
Plants can talk to humans during full moon,misleading
New law to ban single-use plastics nationwide by 2030 (expert says),credible
Cats secretly control global economy,misleading
New law to ban single-use plastics nationwide by 2030,credible
Local farmers receive subsidies to boost organic crop production (breaking news),credible
Drinking melted gold increases intelligence by 200%,misleading
New AI system predicts earthquakes with 85% accuracy (breaking news),credible
Tech company announces solar-powered phone lasting 1 year per charge (breaking news),credible
Drinking water upside down cures all diseases,misleading
Tech company announces solar-powered phone lasting 1 year per charge (report),credible
Local farmers receive subsidies to boost organic crop production,credible
Drinking melted gold increases intelligence by 200% (study shows),misleading
Scientists discover groundbreaking species of deep-sea jellyfish,credible
Government replacing cash with mind-control chips,misleading
Educational reforms to include AI-based personalized learning in schools (report),credible
Rare comet visible to naked eye for the first time in 50 years,credible
City introduces free public transport to reduce traffic congestion,credible
Cats secretly control global economy (report),misleading
Rare comet visible to naked eye for the first time in 50 years (expert says),credible
Plants can talk to humans during full moon (report),misleading
International team finds cure for certain genetic disorders (study shows),credible
Cats secretly control global economy (study shows),misleading
National park expands protected wildlife area by 200 square kilometers,credible
Tech company announces solar-powered phone lasting 1 year per charge,credible
Giant asteroid heading towards Earth will end humanity by Friday (study shows),misleading
Giant asteroid heading towards Earth will end humanity by Friday (report),misleading
Giant asteroid heading towards Earth will end humanity by Friday (study shows),misleading
City introduces free public transport to reduce traffic congestion (study shows),credible
Government replacing cash with mind-control chips (study shows),misleading
Educational reforms to include AI-based personalized learning in schools (study shows),credible
Researchers develop vaccine with 90% success rate in trials (study shows),credible
New AI system predicts earthquakes with 85% accuracy,credible
Local farmers receive subsidies to boost organic crop production (report),credible
Plants can talk to humans during full moon (expert says),misleading
Moon is actually a hologram projected by secret agencies,misleading
Plants can talk to humans during full moon,misleading
Vaccines proven to contain microscopic robots (expert says),misleading
Researchers develop vaccine with 90% success rate in trials (breaking news),credible
Secret underwater base discovered in Pacific Ocean,misleading
Secret city found on the dark side of the moon (breaking news),misleading
Celebrities reveal they are immortal alien hybrids,misleading
Educational reforms to include AI-based personalized learning in schools (report),credible
Scientists discover new species of deep-sea jellyfish (expert says),credible
Ancient pyramid found in Antarctica hiding alien technology (expert says),misleading
City introduces free public transport to reduce traffic congestion,credible
Scientists discover new species of deep-sea jellyfish (report),credible
Vaccines proven to contain microscopic robots,misleading
Local farmers receive subsidies to boost organic crop production (report),credible
Plants can talk to humans during full moon,misleading
Secret underwater base discovered in Pacific Ocean (breaking news),misleading
New AI system predicts earthquakes with 85% accuracy (report),credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™,misleading
Plants can talk to humans during full moon (expert says),misleading
Mars colony to be established by private company in 2035 (study shows),credible
International team finds cure for certain genetic disorders (report),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes (breaking news),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes (report),credible
Rare comet visible to naked eye for the first time in 50 years,credible
Educational reforms to include AI-based personalized learning in schools,credible
Cats secretly control global economy,misleading
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Local farmers receive subsidies to boost organic crop production (breaking news),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Government replacing cash with mind-control chips,misleading
Secret underwater base discovered in Pacific Ocean (expert says),misleading
Drinking water upside down cures all diseases (study shows),misleading
Celebrities reveal they are immortal alien hybrids,misleading
Secret city found on the dark side of the moon (report),misleading
Rare comet visible to naked eye for the first time in 50 years,credible
Moon is actually a hologram projected by secret agencies (breaking news),misleading
Scientists discover new species of deep-sea jellyfish (breaking news),credible
Scientists discover new species of deep-sea jellyfish (breaking news),credible
Rare comet visible to naked eye for the first time in 50 years,credible
Researchers develop vaccine with 90% success rate in trials,credible
National park expands protected wildlife area by 200 square kilometers (breaking news),credible
Eating only bananas for a week will make you immune to viruses,misleading
Government launches new digital ID system for citizens (report),credible
Rare comet visible to naked eye for the first time in 50 years (breaking news),credible
New law to ban single-use plastics nationwide by 2030,credible
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Tech company announces solar-powered phone lasting 1 year per charge (breaking news),credible
Giant asteroid heading towards Earth will end humanity by Friday (expert says),misleading
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Tech company announces solar-powered phone lasting 1 year per charge,credible
Educational reforms to include AI-based personalized learning in schools (breaking news),credible
Educational reforms to include AI-based personalized learning in schools,credible
Internet to be shut down worldwide for 3 days for â€˜resetâ€™ (expert says),misleading
International team finds cure for certain genetic disorders,credible
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Global agreement reached to reduce carbon emissions by 40% by 2040 (report),credible
Celebrities reveal they are immortal alien hybrids,misleading
Drinking water upside down cures all diseases (study shows),misleading
Global agreement reached to reduce carbon emissions by 40% by 2040 (study shows),credible
New AI system predicts earthquakes with 85% accuracy (breaking news),credible
International team finds cure for certain genetic disorders (study shows),credible
Breakthrough battery technology allows electric cars to charge in 5 minutes,credible
Plants can talk to humans during full moon (report),misleading
National park expands protected wildlife area by 200 square kilometers (study shows),credible
Ancient pyramid found in Antarctica hiding alien technology,misleading
Eating only bananas for a week will make you immune to viruses,misleading
Drinking water upside down cures all diseases,misleading
Vaccines proven to contain microscopic robots,misleading
Secret city found on the dark side of the moon,misleading
Drinking melted gold increases intelligence by 200% (report),misleading
Internet to be shut down worldwide for 3 days for â€˜resetâ€™ (expert says),misleading
Eating only bananas for a week will make you immune to viruses (breaking news),misleading
Giant asteroid heading towards Earth will end humanity by Friday,misleading
Breakthrough battery technology allows electric cars to charge in 5 minutes (breaking news),credible
Ocean turning red due to alien experiments (study shows),misleading
International team finds cure for certain genetic disorders (report),credible
Giant asteroid heading towards Earth will end humanity by Friday,misleading
New law to ban single-use plastics nationwide by 2030 (report),credible
Government launches groundbreaking digital ID system for citizens,credible
Secret underwater base discovered in Pacific Ocean,misleading
Moon is actually a hologram projected by secret agencies,misleading
Internet to be shut down worldwide for 3 days for â€˜resetâ€™ (study shows),misleading
Cats secretly control global economy (expert says),misleading
Cats secretly control global economy,misleading
Moon is actually a hologram projected by secret agencies,misleading
Ocean turning red due to alien experiments,misleading
Breakthrough battery technology allows electric cars to charge in 5 minutes (study shows),credible
New law to ban single-use plastics nationwide by 2030 (expert says),credible
Global agreement reached to reduce carbon emissions by 40% by 2040,credible
Celebrities reveal they are immortal alien hybrids (study shows),misleading
Government launches advanced digital ID system for citizens,credible
Plants can talk to humans during full moon,misleading
No damage reported after a 4.9 magnitude quake jolts Newâ€¯Zealandâ€™s lower North Island,credible
"Trumpâ€™s nominee to oversee jobs, inflation data faces shower of criticism",credible
Thailand warns it may act in 'selfâ€‘defense' after soldier hurt by a mine blast near Cambodian border,credible
Takeaways from AP's reporting on armed groups recruiting children in Colombia,credible
"Crypto mogul Do Kwon, known as 'the cryptocurrency king,' pleads guilty to fraud charges",credible
The Latest: Mexico expels 26 highâ€‘ranking cartel figures to US in deal with Trump administration,credible
NASA's Parker Solar Probe makes closest approach to the Sun in history,credible
WHO declares end to Marburg virus outbreak in Equatorial Guinea,credible
Major flooding displaces thousands in southern Brazil,credible
UN warns global food insecurity is worsening due to conflicts and climate change,credible
China launches new crewed mission to its Tiangong space station,credible
Breakthrough in fusion energy sets new record for power output,credible
Global markets rally as US inflation data eases recession fears,credible
New species of deepâ€‘sea fish discovered in the Pacific Ocean,credible
Major cybersecurity breach hits international banking network,credible
Japan to phase out coal power by 2035 under new climate plan,credible
World Health Organization urges nations to prepare for next pandemic,credible
Kenya launches largest wind farm in Africa,credible
Scientists map entire genome of ancient human ancestor,credible
Germany opens world's first hydrogenâ€‘powered passenger train line,credible
"Pfizer CEO was arrested by the FBI, charged with fraud",misleading
Japan replaced COVID vaccines with ivermectin and eliminated the virus in one month,misleading
France sent troops to fight in Russiaâ€‘Ukraine war,misleading
Video shows Robert De Niro confronting antiâ€‘Israel protesters in New York,misleading
US government allows undocumented immigrants to buy firearms,misleading
Temperature data shows Earth has been cooling since 2015,misleading
Harvard Medical School trains students on transgender infants,misleading
Damar Hamlinâ€™s collapse was caused by COVIDâ€‘19 vaccine,misleading
Austrian reporter collapse was due to vaccine side effects,misleading
Nepal plane crash video is from recent incident,misleading
Scientists discover new coral reef system off the coast of Australia,credible
WHO announces new global plan to combat antimicrobial resistance,credible
Renewable energy now powers 80% of homes in Iceland,credible
New study shows regular walking lowers heart disease risk by 25%,credible
Tokyo launches AI-powered traffic management system to cut congestion,credible
"Archaeologists uncover 3,000-year-old city in northern Sudan",credible
NASA confirms successful test of next-generation Mars rover,credible
Study reveals plant-based diets can reduce greenhouse gas emissions,credible
Local farmers in Kenya adopt solar-powered irrigation systems,credible
Paris to ban all diesel cars by 2030 to improve air quality,credible
Breakthrough in Alzheimer’s treatment shows promise in early trials,credible
United Nations launches global literacy improvement initiative,credible
Electric buses reduce public transport emissions by 40% in Oslo,credible
Scientists map the genome of a rare species of sea turtle,credible
European Union passes legislation to cut plastic waste by half,credible
Researchers develop biodegradable packaging made from seaweed,credible
New vaccine approved for malaria prevention in children,credible
Volunteers restore wetlands to protect endangered bird species,credible
Study finds meditation helps reduce workplace stress levels,credible
India builds world’s largest solar power plant in Rajasthan,credible
Canadian researchers create AI model to predict earthquakes,credible
Archaeologists find ancient trade route in South America,credible
Local communities in Brazil restore degraded rainforest land,credible
Ocean cleanup project removes 100 tons of plastic from Pacific,credible
Scientists develop water filter capable of removing microplastics,credible
Germany records lowest unemployment rate in 30 years,credible
New blood test can detect early stages of multiple cancers,credible
Community-led initiative in Nepal brings clean water to villages,credible
Japan launches mission to collect samples from asteroid Bennu,credible
Study shows bilingualism improves cognitive health in older adults,credible
Scientists admit sun is actually a massive hologram,misleading
"Secret NASA files reveal humans lived on Mars 10,000 years ago",misleading
Drinking lemon juice daily guarantees immunity from all diseases,misleading
Governments worldwide planning to replace oceans with artificial lakes,misleading
New device claims to reverse aging in 24 hours,misleading
Alien spacecraft spotted docking with International Space Station,misleading
Eating only chocolate for a week proven to make you taller,misleading
Scientists hide cure for all cancers to protect pharmaceutical profits,misleading
Time traveler warns of world ending in 2031,misleading
Study shows cats are secretly controlling human thoughts,misleading
Ancient pyramid in Alaska discovered to be a power plant,misleading
Water on Earth found to be imported from another galaxy,misleading
Governments planning to replace currency with emotion-based credits,misleading
NASA confirms moon is an alien-built space station,misleading
Special crystal can instantly teleport you anywhere in the world,misleading
Secret tunnels under New York connect to hidden alien cities,misleading
New app claims to let you control the weather from your phone,misleading
Evidence found that dinosaurs still live in remote parts of Africa,misleading
Study proves humans can survive without food if they listen to certain music,misleading
Alien technology discovered in the ruins of Atlantis,misleading
Mysterious signal from space believed to be invitation from extraterrestrials,misleading
Drinking melted gold can improve memory instantly,misleading
Scientists reveal Earth is actually flat but covered by a dome,misleading
DNA tests show some humans are part-dragon,misleading
Secret military project allows soldiers to walk through walls,misleading
New vaccine contains nanobots to track citizens,misleading
Time-lapse video proves continents move overnight,misleading
Energy drink company accused of using mind-control chemicals,misleading
Hidden cameras reveal animals plotting against humans,misleading
Study finds wearing aluminum hats increases intelligence,misleading
Scientists discover new butterfly species in the Amazon rainforest,credible
UN report shows global poverty rate has dropped by 15% in the last decade,credible
Breakthrough in solar panel technology increases efficiency by 30%,credible
Study finds that green spaces improve urban air quality,credible
London to expand bike-sharing program to all boroughs,credible
"Archaeologists find 5,000-year-old temple in southern Turkey",credible
Renewable energy powers 95% of Costa Rica’s electricity needs,credible
Scientists develop new biodegradable battery for medical implants,credible
Local communities in Indonesia restore coral reefs using 3D printing,credible
Research shows early education boosts lifetime earnings,credible
African elephant population increases due to anti-poaching efforts,credible
Finland announces free public transport for all residents,credible
Study links reduced screen time to better sleep quality in teens,credible
Global reforestation efforts show significant climate benefits,credible
Breakthrough drug reduces stroke recovery time by half,credible
Engineers design self-healing roads to reduce maintenance costs,credible
New satellite system improves disaster response worldwide,credible
Researchers develop drought-resistant wheat variety,credible
Study shows music therapy improves recovery after surgery,credible
Ancient shipwreck discovered off the coast of Cyprus,credible
Local farmers in Peru switch to sustainable coffee farming,credible
Scientists successfully grow human organs in lab for transplant,credible
Paris achieves record low levels of urban pollution,credible
Ocean conservation project protects endangered sea turtles,credible
Study shows reading daily can extend lifespan,credible
Global wind energy capacity hits record high,credible
New AI model predicts wildfires days in advance,credible
Researchers identify key protein linked to Parkinson’s disease,credible
Norway reaches zero carbon emissions in public transport sector,credible
UNESCO adds ancient city in Morocco to World Heritage list,credible
NASA scientist confirms parallel universe where dinosaurs still rule Earth,misleading
Special fruit from remote island grants invisibility powers,misleading
Governments plan to replace human workers with cloned AI hybrids,misleading
Secret mountain in Africa hides the gateway to another dimension,misleading
Drinking seawater proven to cure all known diseases,misleading
Experts admit earthquakes are caused by underground machines,misleading
Moon rocks found to contain time-traveling microbes,misleading
Ancient scroll predicts robots will rule the world by 2035,misleading
Famous celebrity reveals they are actually an alien in disguise,misleading
Eating raw onions daily makes you immune to gravity,misleading
Mysterious lake in Siberia connected to lost world underground,misleading
Secret satellite images show cities on the far side of the moon,misleading
Alien DNA found in common household plants,misleading
Government to introduce teleportation booths in major cities,misleading
Ancient statues in Easter Island proven to be alien communication devices,misleading
Drinking only coffee for a month unlocks 100% brain potential,misleading
Scientists admit the Great Wall of China is a giant solar panel,misleading
Invisible pyramids discovered beneath the Sahara Desert,misleading
Magnetic shoes can make you run faster than a cheetah,misleading
Study shows fish are communicating with humans telepathically,misleading
Secret underwater civilization discovered off the coast of Japan,misleading
Crystal caves in Mexico emit life-extending energy fields,misleading
Evidence shows humans once lived on Venus,misleading
New map reveals hidden continents beneath Earth’s oceans,misleading
Eating blueberries makes you resistant to all viruses,misleading
Alien signals from deep space contain instructions for teleportation,misleading
Scientists confirm clouds are actually massive living organisms,misleading
Underground base in Switzerland houses time-travel experiments,misleading
Drinking hot chocolate proven to reverse hair loss overnight,misleading
Volcano in Hawaii found to be entrance to the Earth’s core,misleading
Scientists develop vaccine that shows 90% effectiveness against dengue fever,credible
Study reveals daily physical activity lowers risk of depression,credible
Brazil launches largest reforestation project in the Amazon’s history,credible
Solar-powered desalination plant provides clean water to coastal villages,credible
"Ancient cave paintings discovered in northern Spain date back 40,000 years",credible
Research finds early childhood nutrition improves cognitive development,credible
Norway’s salmon farms adopt eco-friendly waste management systems,credible
Breakthrough in quantum computing sets new processing speed record,credible
United Nations launches campaign to reduce global food waste by half,credible
City of Singapore introduces vertical farming to boost food security,credible
New cancer therapy uses targeted nanotechnology for fewer side effects,credible
France bans single-use plastics in restaurants and cafes,credible
Scientists track migration patterns of endangered whale species,credible
Italy restores historic buildings using sustainable materials,credible
Study finds regular volunteering improves mental health and longevity,credible
Engineers design floating solar farms for coastal cities,credible
Researchers develop antibiotic alternative to fight superbugs,credible
Local fishermen in Vietnam protect coral reefs through sustainable practices,credible
Scientists identify genetic markers for early Alzheimer’s detection,credible
Japan to expand geothermal energy production nationwide,credible
Kenya’s mobile banking services boost rural economic growth,credible
Study shows biodiversity in urban parks improves residents’ well-being,credible
International space mission successfully repairs satellite in orbit,credible
Global efforts reduce illegal wildlife trade incidents by 30%,credible
Iceland records highest renewable energy usage in the world,credible
Researchers create plant-based plastic that decomposes in weeks,credible
Wildlife conservation programs increase tiger population in India,credible
Study shows tree planting cools urban heat islands significantly,credible
Engineers design self-charging electric bicycles,credible
Australia bans drift net fishing to protect marine life,credible
Scientists admit Mount Everest is actually an ancient alien spacecraft,misleading
Drinking pineapple juice lets you understand animal languages,misleading
Governments create artificial clouds to hide massive UFO fleet,misleading
Special gemstone found to unlock telepathic abilities,misleading
Time traveler claims to have met the first AI president of Earth,misleading
Secret tunnel in Rome leads to underground city of immortals,misleading
DNA tests show some humans are part-robot from birth,misleading
Eating garlic during a full moon increases life span by 50 years,misleading
Ancient ruins on the moon prove humans lived there centuries ago,misleading
Researchers find door to another dimension in the Bermuda Triangle,misleading
Aliens discovered living in microscopic form in our drinking water,misleading
Government to introduce universal mind-reading devices by 2040,misleading
Mysterious mountain in China is actually a sleeping dragon,misleading
Drinking rainwater during eclipses grants superhuman strength,misleading
Time-lapse footage shows continents move in real time,misleading
Study claims dreams are secret messages from extraterrestrials,misleading
Magnetic bracelets allow humans to walk on walls,misleading
Secret underwater pyramid in the Pacific emits strange energy,misleading
"Scientists admit dinosaurs never existed, fossils are planted",misleading
Special diet allows humans to live without breathing air,misleading
Evidence suggests ancient Egyptians invented smartphones,misleading
Volcano eruptions are triggered by hidden alien machines,misleading
Eating carrots daily makes you see into the future,misleading
Secret files reveal Earth is actually inside a massive cube,misleading
Ocean waves carry encrypted alien messages,misleading
Ancient manuscript predicts robots will replace all animals,misleading
Drinking coconut water daily enables levitation,misleading
Governments planning to relocate population to underground bunkers,misleading
Study proves cats are alien spies monitoring humans,misleading
Secret lab grows plants that can speak human languages,misleading
